epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
170,3273.08,0.72827,0.4149,0.91176,0.78106,0.69861,0.77082,0.56754,1.14358,0.93421,1.23129,0.000204313,0.000204313,0.000204313
171,3287.03,0.72965,0.41727,0.91053,0.79208,0.71129,0.78513,0.55488,1.12751,0.90785,1.21765,0.000198125,0.000198125,0.000198125
172,3301.41,0.73742,0.42259,0.91601,0.7505,0.73768,0.78221,0.5611,1.14416,0.89108,1.24259,0.000191938,0.000191938,0.000191938
173,3315.85,0.73476,0.41515,0.9041,0.78072,0.72548,0.77839,0.58376,1.14374,0.93707,1.25942,0.00018575,0.00018575,0.00018575
174,3330.34,0.70502,0.41084,0.90769,0.82024,0.70255,0.78376,0.57325,1.15005,0.92661,1.25599,0.000179563,0.000179563,0.000179563
175,3344.82,0.70989,0.40527,0.91317,0.72191,0.73395,0.76601,0.58976,1.14948,0.91267,1.26173,0.000173375,0.000173375,0.000173375
176,3359.18,0.71841,0.40329,0.90936,0.76577,0.69555,0.77639,0.59455,1.14054,0.924,1.25353,0.000167188,0.000167188,0.000167188
177,3373.15,0.73563,0.41378,0.90924,0.77669,0.70194,0.77946,0.57709,1.15713,0.95537,1.26336,0.000161,0.000161,0.000161
178,3386.55,0.72959,0.40939,0.90745,0.79867,0.69196,0.77568,0.57023,1.14795,0.91607,1.25335,0.000154812,0.000154812,0.000154812
179,3415.5,0.70511,0.40135,0.89927,0.77383,0.70255,0.77524,0.59068,1.14652,0.88215,1.25574,0.000148625,0.000148625,0.000148625
180,3437.19,0.72685,0.40859,0.90478,0.71135,0.70898,0.77062,0.59377,1.15414,0.92278,1.26008,0.000142437,0.000142437,0.000142437
181,3450.93,0.72536,0.41246,0.91013,0.77826,0.70712,0.77402,0.58889,1.15262,0.9533,1.27298,0.00013625,0.00013625,0.00013625
182,3467.69,0.70889,0.40354,0.90638,0.7656,0.70846,0.77683,0.56994,1.14333,0.93384,1.2533,0.000130062,0.000130062,0.000130062
183,3482.13,0.72421,0.41054,0.90823,0.74608,0.69968,0.76202,0.56596,1.13831,0.99258,1.24007,0.000123875,0.000123875,0.000123875
184,3496.42,0.7038,0.39454,0.89912,0.75127,0.71876,0.78123,0.58757,1.13616,0.94547,1.24481,0.000117687,0.000117687,0.000117687
185,3510.39,0.70052,0.39777,0.89896,0.76072,0.7245,0.78183,0.58645,1.13958,0.98814,1.24935,0.0001115,0.0001115,0.0001115
186,3525.04,0.70004,0.39717,0.90163,0.79623,0.7224,0.77782,0.57803,1.14784,0.9879,1.27079,0.000105312,0.000105312,0.000105312
187,3541.55,0.71569,0.39915,0.89582,0.77362,0.73364,0.77251,0.57614,1.13924,0.95912,1.25766,9.9125e-05,9.9125e-05,9.9125e-05
188,3554.71,0.7019,0.3959,0.89793,0.75235,0.73115,0.77985,0.57389,1.13296,0.95521,1.24299,9.29375e-05,9.29375e-05,9.29375e-05
189,3568.44,0.70132,0.391,0.90065,0.77662,0.69443,0.77448,0.57868,1.13621,0.95593,1.25233,8.675e-05,8.675e-05,8.675e-05
190,3582.87,0.68043,0.38074,0.89454,0.74751,0.73276,0.77231,0.58471,1.14346,0.93979,1.25521,8.05625e-05,8.05625e-05,8.05625e-05
191,3620.2,0.68854,0.38757,0.90515,0.7728,0.73428,0.77613,0.57625,1.14956,0.95225,1.26206,7.4375e-05,7.4375e-05,7.4375e-05
192,3634.53,0.66704,0.36568,0.89419,0.77692,0.69977,0.77425,0.57725,1.15712,0.96149,1.28455,6.81875e-05,6.81875e-05,6.81875e-05
193,3648.2,0.67534,0.3684,0.89126,0.76463,0.6908,0.77699,0.59665,1.16667,0.96112,1.29723,6.2e-05,6.2e-05,6.2e-05
194,3662.43,0.66455,0.35921,0.89732,0.77234,0.70959,0.77712,0.57791,1.17013,0.94472,1.29778,5.58125e-05,5.58125e-05,5.58125e-05
195,3676.43,0.66664,0.35935,0.89202,0.76784,0.704,0.76914,0.57809,1.15953,0.94517,1.28738,4.9625e-05,4.9625e-05,4.9625e-05
196,3688,0.65866,0.35611,0.89208,0.77515,0.70526,0.77447,0.57827,1.15826,0.94381,1.28661,4.34375e-05,4.34375e-05,4.34375e-05
197,3701.45,0.6624,0.35906,0.88871,0.76684,0.71031,0.77457,0.57723,1.15286,0.94069,1.28025,3.725e-05,3.725e-05,3.725e-05
198,3715.41,0.66035,0.35372,0.89094,0.77559,0.71417,0.77787,0.5781,1.16319,0.93958,1.29878,3.10625e-05,3.10625e-05,3.10625e-05
199,3729.78,0.65151,0.35005,0.88463,0.76776,0.72456,0.77871,0.57953,1.1618,0.9426,1.30009,2.4875e-05,2.4875e-05,2.4875e-05
200,3743.87,0.646,0.34878,0.8805,0.7651,0.70604,0.77643,0.57868,1.15372,0.94895,1.28421,1.86875e-05,1.86875e-05,1.86875e-05
